Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
RXN,Rexnord Corporation,30.24,$3.2B,2012.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rxn,
RH,RH,187.55,$3.5B,2012.0,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/rh,
RNG,"Ringcentral, Inc.",170.0,$14.64B,2013.0,Technology,EDP Services,https://old.nasdaq.com/symbol/rng,
RIO,Rio Tinto Plc,53.99,$91.02B,2002.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/rio,
RBA,Ritchie Bros. Auctioneers Incorporated,42.01,$4.55B,,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/rba,
RAD,Rite Aid Corporation,9.96,$546.55M,,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/rad,
RMM,"RiverNorth Managed Duration Municipal Income Fund, Inc.",19.87,$392.22M,2019.0,,,https://old.nasdaq.com/symbol/rmm,
RSF,RiverNorth Marketplace Lending Corporation,18.18,$120.58M,2019.0,,,https://old.nasdaq.com/symbol/rsf,
RMI,"RiverNorth Opportunistic Municipal Income Fund, Inc.",21.65,$137.98M,2018.0,,,https://old.nasdaq.com/symbol/rmi,
RIV,"RiverNorth Opportunities Fund, Inc.",16.05,$149.69M,2015.0,,,https://old.nasdaq.com/symbol/riv,
OPP,"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",16.4,$180.63M,2016.0,,,https://old.nasdaq.com/symbol/opp,
RLI,RLI Corp.,98.03,$4.4B,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/rli,
RLJ,RLJ Lodging Trust,16.78,$2.86B,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rlj,
RMG,RMG Acquisition Corp.,9.87,$283.76M,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/rmg,
RRTS,"Roadrunner Transportation Systems, Inc.",8.99,$338.36M,2010.0,Transportation,Oil Refining/Marketing,https://old.nasdaq.com/symbol/rrts,
RHI,Robert Half International Inc.,58.4,$6.87B,,Technology,Professional Services,https://old.nasdaq.com/symbol/rhi,
ROK,"Rockwell Automation, Inc.",197.67,$23.13B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rok,
RCI,"Rogers Communication, Inc.",47.85,$19.11B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/rci,
ROG,Rogers Corporation,127.64,$2.37B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/rog,
ROL,"Rollins, Inc.",36.7,$12.02B,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/rol,
ROP,"Roper Technologies, Inc.",341.64,$35.55B,1992.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/rop,
RY,Royal Bank Of Canada,82.35,$117.82B,,Finance,Commercial Banks,https://old.nasdaq.com/symbol/ry,
RCL,Royal Caribbean Cruises Ltd.,118.4,$24.82B,1993.0,Consumer Services,Marine Transportation,https://old.nasdaq.com/symbol/rcl,
RGT,"Royce Global Value Trust, Inc.",10.88,$114.04M,2013.0,,,https://old.nasdaq.com/symbol/rgt,
RMT,"Royce Micro-Cap Trust, Inc.",8.21,$338.86M,,,,https://old.nasdaq.com/symbol/rmt,
RVT,"Royce Value Trust, Inc.",14.36,$1.39B,1986.0,,,https://old.nasdaq.com/symbol/rvt,
RES,"RPC, Inc.",3.83,$821.53M,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/res,
RPM,RPM International Inc.,73.75,$9.56B,,Basic Industries,Paints/Coatings,https://old.nasdaq.com/symbol/rpm,
RPT,RPT Realty,14.61,$1.17B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rpt,
RYB,"RYB Education, Inc.",6.15,$175.95M,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/ryb,
R,"Ryder System, Inc.",52.06,$2.77B,,Consumer Services,Rental/Leasing Companies,https://old.nasdaq.com/symbol/r,
RYI,Ryerson Holding Corporation,9.75,$368.39M,2014.0,Basic Industries,Metal Fabrications,https://old.nasdaq.com/symbol/ryi,
RHP,"Ryman Hospitality Properties, Inc.",88.33,$4.54B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/rhp,
SPGI,S&P Global Inc.,264.08,$64.54B,,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/spgi,
SBR,Sabine Royalty Trust,39.46,$575.3M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sbr,
SB,"Safe Bulkers, Inc",1.59,$161.05M,2008.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sb,
SFE,"Safeguard Scientifics, Inc.",11.76,$242.79M,,Finance,Finance/Investors Services,https://old.nasdaq.com/symbol/sfe,
SAFE,Safehold Inc.,35.93,$1.45B,2017.0,Consumer Services,Real Estate,https://old.nasdaq.com/symbol/safe,
SAIL,"SailPoint Technologies Holdings, Inc.",24.39,$2.18B,2017.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sail,
CRM,Salesforce.com Inc,162.77,$142.75B,2004.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/crm,
SMM,Salient Midstream & MLP Fund,6.91,$122.46M,2012.0,,,https://old.nasdaq.com/symbol/smm,
SBH,"Sally Beauty Holdings, Inc.",18.78,$2.26B,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/sbh,
SJT,San Juan Basin Royalty Trust,2.27,$105.8M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sjt,
SD,"SandRidge Energy, Inc.",3.44,$122.94M,2016.0,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sd,
SC,Santander Consumer USA Holdings Inc.,23.79,$8.09B,2014.0,Finance,Finance: Consumer Services,https://old.nasdaq.com/symbol/sc,
SAP,SAP SE,135.18,$166.07B,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/sap,
SAF,Saratoga Investment Corp,25.866,,2018.0,,,https://old.nasdaq.com/symbol/saf,
SAR,Saratoga Investment Corp,25.3,$246.57M,,,,https://old.nasdaq.com/symbol/sar,
SSL,Sasol Ltd.,18.86,$11.9B,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/ssl,
BFS,"Saul Centers, Inc.",52.69,$1.22B,1993.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/bfs,
SCPE,SC Health Corporation,9.84,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/scpe,
SLB,Schlumberger N.V.,34.69,$48.02B,,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/slb,
SNDR,"Schneider National, Inc.",23.38,$4.14B,2017.0,Transportation,Trucking Freight/Courier Services,https://old.nasdaq.com/symbol/sndr,
SWM,"Schweitzer-Mauduit International, Inc.",44.58,$1.38B,,Basic Industries,Paper,https://old.nasdaq.com/symbol/swm,
SAIC,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,83.68,$4.83B,,Technology,EDP Services,https://old.nasdaq.com/symbol/saic,
SALT,Scorpio Bulkers Inc.,5.53,$400.86M,2013.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/salt,
STNG,Scorpio Tankers Inc.,31.17,$1.81B,2010.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/stng,
SMG,Scotts Miracle-Gro Company (The),102.09,$5.67B,1992.0,Basic Industries,Agricultural Chemicals,https://old.nasdaq.com/symbol/smg,
KTF,Scudder Municiple Income Trust,11.38,$449.52M,1988.0,,,https://old.nasdaq.com/symbol/ktf,
KSM,Scudder Strategic Municiple Income Trust,12.31,$137.92M,1989.0,,,https://old.nasdaq.com/symbol/ksm,
SRL,Scully Royalty Ltd.,9.91,$124.22M,,,,https://old.nasdaq.com/symbol/srl,
SCU,"Sculptor Capital Management, Inc.",17.09,$854.46M,,Finance,Investment Managers,https://old.nasdaq.com/symbol/scu,
SE,Sea Limited,36.63,$16.97B,2017.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/se,
SA,"Seabridge Gold, Inc.",12.63,$799.22M,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/sa,
CKH,"SEACOR Holdings, Inc.",41.05,$828.36M,,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/ckh,
SMHI,SEACOR Marine Holdings Inc.,12.32,$268.15M,2017.0,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/smhi,
SEE,Sealed Air Corporation,38.32,$5.92B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/see,
SEAS,"SeaWorld Entertainment, Inc.",29.88,$2.35B,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/seas,
WTTR,"Select Energy Services, Inc.",7.22,$766.8M,2017.0,Energy,Oilfield Services/Equipment,https://old.nasdaq.com/symbol/wttr,
SEM,Select Medical Holdings Corporation,21.14,$2.84B,2009.0,Health Care,Hospital/Nursing Management,https://old.nasdaq.com/symbol/sem,
SRE,Sempra Energy,147.63,$41.62B,,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/sre,
SREA,Sempra Energy,26.55,,2019.0,Public Utilities,Natural Gas Distribution,https://old.nasdaq.com/symbol/srea,
ST,Sensata Technologies Holding plc,52.22,$8.3B,2010.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/st,
SXT,Sensient Technologies Corporation,62.36,$2.64B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/sxt,
SQNS,Sequans Communications S.A.,0.4702,$44.75M,2011.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/sqns,
SRG,Seritage Growth Properties,42.98,$2.45B,2015.0,Finance,Real Estate,https://old.nasdaq.com/symbol/srg,
SCI,Service Corporation International,43.68,$7.98B,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/sci,
NOW,"ServiceNow, Inc.",266.31,$50.23B,2012.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/now,
SFL,SFL Corporation Ltd,14.33,$1.54B,,Transportation,Marine Transportation,https://old.nasdaq.com/symbol/sfl,
SHAK,"Shake Shack, Inc.",61.75,$2.32B,2015.0,Consumer Services,Restaurants,https://old.nasdaq.com/symbol/shak,
SJR,Shaw Communications Inc.,20.76,$10.28B,,Consumer Services,Television Services,https://old.nasdaq.com/symbol/sjr,
SHLX,"Shell Midstream Partners, L.P.",19.83,$4.63B,2014.0,Energy,Natural Gas Distribution,https://old.nasdaq.com/symbol/shlx,
SHW,Sherwin-Williams Company (The),586.08,$54.1B,,Consumer Services,RETAIL: Building Materials,https://old.nasdaq.com/symbol/shw,
SHG,Shinhan Financial Group Co Ltd,37.39,$17.21B,,Finance,Major Banks,https://old.nasdaq.com/symbol/shg,
SHOP,Shopify Inc.,322.98,$33.49B,2015.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/shop,
SSTK,"Shutterstock, Inc.",42.32,$1.49B,2012.0,Technology,EDP Services,https://old.nasdaq.com/symbol/sstk,
SIG,Signet Jewelers Limited,17.18,$897.88M,,Consumer Services,Consumer Specialties,https://old.nasdaq.com/symbol/sig,
SBOW,"SilverBow Resorces, Inc.",9.56,$112.41M,,Energy,Oil & Gas Production,https://old.nasdaq.com/symbol/sbow,
SI,Silvergate Capital Corporation,15.69,$292.79M,2019.0,Finance,Major Banks,https://old.nasdaq.com/symbol/si,
SPG,"Simon Property Group, Inc.",153.71,$47.17B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/spg,
SSD,"Simpson Manufacturing Company, Inc.",81.25,$3.6B,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/ssd,
SHI,"SINOPEC Shangai Petrochemical Company, Ltd.",26.89,$2.91B,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/shi,
SITC,SITE Centers Corp.,14.99,$2.91B,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/sitc,
