"Symbol",
WBA,
CSCO,
KO,
RTX,
JPM,
MMM,
CAT,
JNJ,
AXP,
VZ,
GS,
MSFT,
AAPL,
WMT,
CVX,
IBM,
V,
XOM,
HD,
DOW,
PG,
UNH,
MCD,
MRK,
INTC,
PFE,
NKE,
DIS,
BA,
TRV
