CIK,Company_Names,Form_Type,Date_Filed,Filename,year,quarter
1652044,Alphabet Inc.,4,2015-12-31,"edgar/data/1652044/0001127602-15-035209.txt
",2015,QTR4
1652044,Alphabet Inc.,8-K12B,2015-10-02,"edgar/data/1652044/0001193125-15-336577.txt
",2015,QTR4
1652044,Alphabet Inc.,8-K,2015-10-22,"edgar/data/1652044/0001652044-15-000003.txt
",2015,QTR4
1652044,Alphabet Inc.,8-K,2015-11-19,"edgar/data/1652044/0001652044-15-000007.txt
",2015,QTR4
1652044,Alphabet Inc.,S-8,2015-10-02,"edgar/data/1652044/0001193125-15-336635.txt
",2015,QTR4
1652044,Alphabet Inc.,10-K/A,2016-03-29,"edgar/data/1652044/0001193125-16-520367.txt
",2016,QTR1
1652044,Alphabet Inc.,10-K,2016-02-11,"edgar/data/1652044/0001652044-16-000012.txt
",2016,QTR1
1652044,Alphabet Inc.,3/A,2016-02-25,"edgar/data/1652044/0001127602-16-043334.txt
",2016,QTR1
1652044,Alphabet Inc.,3,2016-02-24,"edgar/data/1652044/0001127602-16-043152.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-04,"edgar/data/1652044/0001127602-16-035238.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-04,"edgar/data/1652044/0001127602-16-035517.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-05,"edgar/data/1652044/0001127602-16-036173.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-12,"edgar/data/1652044/0001127602-16-036781.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-19,"edgar/data/1652044/0001127602-16-037235.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-27,"edgar/data/1652044/0001127602-16-038072.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-27,"edgar/data/1652044/0001127602-16-038123.txt
",2016,QTR1
1652044,Alphabet Inc.,4,2016-01-27,"edgar/data/1652044/0001127602-16-038125.txt
",2016,QTR1
