CIK,Company_Names,Form_Type,Date_Filed,Filename,year,quarter
320193,APPLE COMPUTER INC,10-Q,1994-01-26,"edgar/data/320193/0000320193-94-000002.txt
",1994,QTR1
320193,APPLE COMPUTER INC,424B5,1994-01-26,"edgar/data/320193/0000891618-94-000021.txt
",1994,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1994-02-10,"edgar/data/320193/0000950150-94-000252.txt
",1994,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1994-02-17,"edgar/data/320193/0000918983-94-000004.txt
",1994,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1994-03-08,"edgar/data/320193/0000950150-94-000392.txt
",1994,QTR1
320193,APPLE COMPUTER INC,SC 13G,1994-02-18,"edgar/data/320193/0000918983-94-000005.txt
",1994,QTR1
320193,APPLE COMPUTER INC,S-8,1994-05-27,"edgar/data/320193/0000320193-94-000008.txt
",1994,QTR2
320193,APPLE COMPUTER INC,S-8,1994-05-27,"edgar/data/320193/0000320193-94-000009.txt
",1994,QTR2
320193,APPLE COMPUTER INC,10-Q,1994-08-12,"edgar/data/320193/0000320193-94-000013.txt
",1994,QTR3
320193,APPLE COMPUTER INC,10-K,1994-12-13,"edgar/data/320193/0000320193-94-000016.txt
",1994,QTR4
320193,APPLE COMPUTER INC,DEF 14A,1994-12-12,"edgar/data/320193/0000891618-94-000258.txt
",1994,QTR4
320193,APPLE COMPUTER INC,10-Q,1995-02-09,"edgar/data/320193/0000320193-95-000003.txt
",1995,QTR1
320193,APPLE COMPUTER INC,SC 13D/A,1995-01-10,"edgar/data/320193/0000320193-95-000001.txt
",1995,QTR1
320193,APPLE COMPUTER INC,SC 13D/A,1995-02-07,"edgar/data/320193/0000320193-95-000002.txt
",1995,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1995-02-06,"edgar/data/320193/0000732812-95-000061.txt
",1995,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1995-02-14,"edgar/data/320193/0000918983-95-000001.txt
",1995,QTR1
320193,APPLE COMPUTER INC,SC 13G/A,1995-03-06,"edgar/data/320193/0000732812-95-000305.txt
",1995,QTR1
320193,APPLE COMPUTER INC,10-Q,1995-05-15,"edgar/data/320193/0000320193-95-000008.txt
",1995,QTR2
320193,APPLE COMPUTER INC,S-8,1995-06-16,"edgar/data/320193/0000320193-95-000009.txt
",1995,QTR2
320193,APPLE COMPUTER INC,S-8,1995-06-16,"edgar/data/320193/0000320193-95-000010.txt
",1995,QTR2
320193,APPLE COMPUTER INC,10-Q,1995-08-11,"edgar/data/320193/0000320193-95-000011.txt
",1995,QTR3
320193,APPLE COMPUTER INC,SC 13G,1995-07-07,"edgar/data/320193/0000315066-95-002900.txt
",1995,QTR3
320193,APPLE COMPUTER INC,10-K,1995-12-19,"edgar/data/320193/0000320193-95-000016.txt
",1995,QTR4
320193,APPLE COMPUTER INC,DEF 14A,1995-12-19,"edgar/data/320193/0000891618-95-000750.txt
",1995,QTR4
320193,APPLE COMPUTER INC,SC 13D/A,1995-11-13,"edgar/data/320193/0000320193-95-000012.txt
",1995,QTR4
320193,APPLE COMPUTER INC,SC 13D/A,1995-12-14,"edgar/data/320193/0000320193-95-000014.txt
",1995,QTR4
320193,APPLE COMPUTER INC,SC 13D/A,1995-12-14,"edgar/data/320193/0000320193-95-000015.txt
",1995,QTR4
320193,APPLE COMPUTER INC,SC 13G/A,1995-10-10,"edgar/data/320193/0000315066-95-003137.txt
",1995,QTR4
320193,APPLE COMPUTER INC,10-Q,1996-02-12,"edgar/data/320193/0000320193-96-000002.txt
",1996,QTR1
320193,APPLE COMPUTER INC,SC 13G,1996-02-13,"edgar/data/320193/0000320193-96-000003.txt
",1996,QTR1
